["port 1","LEFT"]
["port 2","LEFT"]
["port 3","RIGHT"]
["port 4","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(20, 3)
1.9414500101827997e+14 1.8282570851105456e-03 8.6592951539188885e+00
1.9427635758189181e+14 1.8307549480589900e-03 9.2304380546638090e+00
1.9440771414550362e+14 1.8339524048522325e-03 9.8019735952010745e+00
1.9453907070911547e+14 1.8376613424140693e-03 1.0373722564955663e+01
1.9467042727272728e+14 1.8416531514369740e-03 1.0945532070193480e+01
("port 2","mode 1",1,"port 2",1,"transmission")
(20, 3)
1.9217465256410256e+14 1.3268509408506192e-02 2.6144178177415340e+00
1.9230600912771438e+14 1.3230898505447553e-02 2.9512739108390624e+00
1.9243736569132622e+14 1.2302308264735233e-02 3.2998231952516921e+00
1.9256872225493803e+14 1.0629920059091916e-02 3.6637512804074617e+00
1.9270007881854988e+14 8.4544211516182025e-03 4.0524393893308455e+00
1.9283143538216169e+14 6.0883145844990300e-03 4.4897983307979672e+00
1.9296279194577353e+14 3.9128962845002679e-03 5.0421598454126251e+00
1.9309414850938534e+14 2.4610405259102605e-03 5.8661052391854600e+00
1.9322550507299719e+14 2.2733016689367399e-03 6.8667125260342772e+00
1.9335686163660900e+14 2.7678152992017123e-03 7.5198905111542373e+00
1.9348821820022084e+14 3.2350496873506914e-03 7.8746065980832656e+00
1.9361957476383266e+14 3.6657537902446574e-03 8.0698635531327341e+00
1.9375093132744450e+14 4.2903546582673006e-03 8.2075683584049894e+00
1.9388228789105631e+14 5.2139363216950202e-03 8.3804788635464487e+00
1.9401364445466816e+14 6.3181334689313105e-03 8.6296221626556573e+00
1.9414500101827997e+14 7.3996354276124280e-03 8.9518381656398276e+00
1.9427635758189181e+14 8.2947855774635204e-03 9.3326869426185333e+00
1.9440771414550362e+14 8.9190291942571852e-03 9.7594488613315207e+00
1.9453907070911547e+14 9.2555315111599833e-03 1.0221410948142887e+01
1.9467042727272728e+14 9.3158307694408467e-03 1.0707804436417607e+01
("port 2","mode 1",1,"port 3",1,"transmission")
(20, 3)
1.9217465256410256e+14 2.7097813775996188e-01 -2.1466820298337659e+00
1.9230600912771438e+14 2.6894023362247010e-01 -1.6377537072104902e+00
1.9243736569132622e+14 2.6690718333842239e-01 -1.1278646492404465e+00
1.9256872225493803e+14 2.6487978953624408e-01 -6.1701907769214015e-01
1.9270007881854988e+14 2.6285901195323658e-01 -1.0521936242052521e-01
1.9283143538216169e+14 2.6084563255402488e-01 4.0753393991250120e-01
1.9296279194577353e+14 2.5884001427881442e-01 9.2124130521843561e-01
1.9309414850938534e+14 2.5684204932756144e-01 1.4359030642972757e+00
1.9322550507299719e+14 2.5485131057007215e-01 1.9515183387089283e+00
1.9335686163660900e+14 2.5286733332046507e-01 2.4680845448441580e+00
1.9348821820022084e+14 2.5088990165303426e-01 2.9855976686323045e+00
1.9361957476383266e+14 2.4891921583916771e-01 3.5040531760532807e+00
1.9375093132744450e+14 2.4695587296685351e-01 4.0234471501730207e+00
1.9388228789105631e+14 2.4500067587439939e-01 4.5437771528933544e+00
1.9401364445466816e+14 2.4305435927047139e-01 5.0650424369522593e+00
1.9414500101827997e+14 2.4111735457969263e-01 5.5872434216195401e+00
1.9427635758189181e+14 2.3918969392198075e-01 6.1103806653607249e+00
1.9440771414550362e+14 2.3727108989682996e-01 6.6344537805423895e+00
1.9453907070911547e+14 2.3536115076242642e-01 7.1594607496318536e+00
1.9467042727272728e+14 2.3345963404561001e-01 7.6853979183842540e+00
("port 2","mode 1",1,"port 4",1,"transmission")
(20, 3)
1.9217465256410256e+14 9.2164346666095287e-01 -2.4105908986665501e+00
1.9230600912771438e+14 9.2738200059224896e-01 -1.7936110713785698e+00
1.9243736569132622e+14 9.3363368581044226e-01 -1.1743689844404925e+00
1.9256872225493803e+14 9.4020667472716435e-01 -5.5280949521941614e-01
1.9270007881854988e+14 9.4690381339278484e-01 7.1078434789805495e-02
1.9283143538216169e+14 9.5353189379729775e-01 6.9726484646632059e-01
1.9296279194577353e+14 9.5990975634198850e-01 1.3256850177134922e+00
1.9309414850938534e+14 9.6587383637507285e-01 1.9562473523284980e+00
1.9322550507299719e+14 9.7128078534392970e-01 2.5888409444446725e+00
1.9335686163660900e+14 9.7600799239095670e-01 3.2233412790519678e+00
1.9348821820022084e+14 9.7995350066306286e-01 3.8596136658551554e+00
1.9361957476383266e+14 9.8303658567369023e-01 4.4975151896881052e+00
1.9375093132744450e+14 9.8519932210262662e-01 5.1368965384320857e+00
1.9388228789105631e+14 9.8640842657134176e-01 5.7776047644255835e+00
1.9401364445466816e+14 9.8665618617245432e-01 6.4194871099034447e+00
1.9414500101827997e+14 9.8595964777688838e-01 7.0623951054605474e+00
1.9427635758189181e+14 9.8435817842126516e-01 7.7061878260877137e+00
1.9440771414550362e+14 9.8191036915488850e-01 8.3507336535313250e+00
1.9453907070911547e+14 9.7869145984217243e-01 8.9959108217646016e+00
1.9467042727272728e+14 9.7479187501268794e-01 9.6416077868815364e+00
("port 3","mode 1",1,"port 1",1,"transmission")
(20, 3)
1.9217465256410256e+14 9.5224737940054338e-01 -1.2994910833602580e+00
1.9230600912771438e+14 9.5287685363647734e-01 -9.5206883364437800e-01
1.9243736569132622e+14 9.5349466198925636e-01 -6.0399558524095764e-01
1.9256872225493803e+14 9.5410080453228940e-01 -2.5527288708739854e-01
