nm	n	k				
720	1.985485	4.53E-4				
721	1.985399	4.52E-4				
722	1.985313	4.51E-4				
723	1.985227	4.5E-4				
724	1.985142	4.49E-4				
725	1.985057	4.48E-4				
726	1.984973	4.47E-4				
727	1.984889	4.46E-4				
728	1.984805	4.45E-4				
729	1.984721	4.44E-4				
730	1.984638	4.43E-4				
731	1.984556	4.42E-4				
732	1.984473	4.41E-4				
733	1.984391	4.4E-4				
734	1.984309	4.39E-4				
735	1.984228	4.39E-4				
736	1.984147	4.38E-4				
737	1.984066	4.37E-4				
738	1.983986	4.36E-4				
739	1.983906	4.35E-4				
740	1.983826	4.34E-4				
741	1.983747	4.33E-4				
742	1.983667	4.32E-4				
743	1.983589	4.31E-4				
744	1.98351	4.3E-4				
745	1.983432	4.29E-4				
746	1.983354	4.28E-4				
747	1.983276	4.28E-4				
748	1.983199	4.27E-4				
749	1.983122	4.26E-4				
750	1.983046	4.25E-4				
751	1.982969	4.24E-4				
752	1.982893	4.23E-4				
753	1.982818	4.22E-4				
754	1.982742	4.22E-4				
755	1.982667	4.21E-4				
756	1.982592	4.2E-4				
757	1.982518	4.19E-4				
758	1.982443	4.18E-4				
759	1.98237	4.17E-4				
760	1.982296	4.17E-4				
761	1.982223	4.16E-4				
762	1.982149	4.15E-4				
763	1.982077	4.14E-4				
764	1.982004	4.13E-4				
765	1.981932	4.13E-4				
766	1.98186	4.12E-4				
767	1.981788	4.11E-4				
768	1.981717	4.1E-4				
769	1.981646	4.09E-4				
770	1.981575	4.09E-4				
771	1.981504	4.08E-4				
772	1.981434	4.07E-4				
773	1.981364	4.06E-4				
774	1.981294	4.06E-4				
775	1.981225	4.05E-4				
776	1.981155	4.04E-4				
777	1.981086	4.03E-4				
778	1.981018	4.03E-4				
779	1.980949	4.02E-4				
780	1.980881	4.01E-4				
781	1.980813	4E-4				
782	1.980745	4E-4				
783	1.980678	3.99E-4				
784	1.980611	3.98E-4				
785	1.980544	3.97E-4				
786	1.980477	3.97E-4				
787	1.98041	3.96E-4				
